ID,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4,NIVEL 5,NIVEL 6,TIPO DE EMISSAO,GÁS,TERRITÓRIO,IBGE,MUNICIPIO,ATIVIDADE ECONÔMICA,PRODUTO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200252,AC - Epitaciolândia,SANEAMENTO,NA,0,0,"0,01","0,01","0,02","0,03","0,04","0,05","0,06","0,07","0,11","0,09","0,07","0,05","0,06","0,08","0,08","0,16","0,09","0,09","0,08","0,15","0,19","0,12","0,17","0,18","0,15","0,18","0,18","0,19"
30,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200302,AC - Feijó,SANEAMENTO,NA,0,0,"0,01","0,02","0,03","0,04","0,05","0,07","0,08","0,1","0,15","0,14","0,11","0,09","0,13","0,19","0,21","0,37","0,22","0,23","0,21","0,38","0,49","0,28","0,41","0,41","0,34","0,4","0,42","0,44"
31,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200328,AC - Jordão,SANEAMENTO,NA,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,02","0,03","0,02","0,02","0,01","0,02","0,02","0,02","0,07","0,04","0,04","0,04","0,07","0,1","0,06","0,09","0,09","0,08","0,09","0,09","0,1"
32,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200336,AC - Mâncio Lima,SANEAMENTO,NA,0,0,"0,01","0,03","0,04","0,06","0,07","0,09","0,11","0,14","0,22","0,17","0,13","0,08","0,09","0,12","0,12","0,25","0,13","0,13","0,1","0,19","0,24","0,15","0,22","0,23","0,2","0,23","0,24","0,25"
33,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200344,AC - Manoel Urbano,SANEAMENTO,NA,0,0,0,"0,01","0,01","0,01","0,02","0,02","0,03","0,04","0,06","0,05","0,04","0,03","0,03","0,04","0,04","0,09","0,05","0,05","0,04","0,08","0,1","0,06","0,09","0,09","0,08","0,09","0,1","0,1"
34,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200351,AC - Marechal Thaumaturgo,SANEAMENTO,NA,0,0,0,"0,01","0,01","0,01","0,02","0,02","0,03","0,03","0,05","0,05","0,04","0,03","0,04","0,05","0,06","0,2","0,12","0,14","0,12","0,22","0,29","0,18","0,27","0,29","0,24","0,29","0,3","0,31"
35,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200385,AC - Plácido de Castro,SANEAMENTO,NA,0,0,"0,01","0,03","0,04","0,05","0,07","0,09","0,11","0,13","0,21","0,17","0,13","0,09","0,1","0,13","0,13","0,28","0,15","0,15","0,12","0,22","0,28","0,16","0,24","0,25","0,21","0,25","0,25","0,26"
36,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200807,AC - Porto Acre,SANEAMENTO,NA,0,0,"0,01","0,01","0,02","0,02","0,03","0,04","0,05","0,06","0,09","0,07","0,05","0,03","0,04","0,04","0,04","0,15","0,08","0,08","0,07","0,13","0,17","0,1","0,16","0,16","0,14","0,17","0,17","0,18"
37,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200393,AC - Porto Walter,SANEAMENTO,NA,"0,06","0,09","0,36","0,7","1,04","1,47","1,91","2,44","3,02","3,62","5,79","4,63","3,45","2,31","2,75","3,59","3,58","6,82","3,6","3,57","3,15","5,74","7,42","4,49","6,77","6,77","5,82","6,87","7,06","7,42"
38,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200401,AC - Rio Branco,SANEAMENTO,NA,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,02","0,03","0,02","0,01","0,01","0,01","0,01","0,01","0,03","0,02","0,02","0,01","0,03","0,04","0,02","0,03","0,03","0,03","0,03","0,03","0,04"
